No	Bloc	Cultivar	Traitement	pH	CE	NH4	NO3	P	K	Ca	Mg	Fe	Cu	Mn	Zn	Mo	Al
1	1	Blueray	CTRLMin	3.51	350.3	4.78	0	318.10	539.83	898.98	386.24	516.86	1.95	12.58	11.24	4.21	1232.31
2	1	Blueray	CTROrg	5.66	469	119.14	12.609	313.70	240.29	4320.88	460.74	475.25	2.51	11.10	13.86	3.74	517.88
3	1	Blueray	PGPROrg	3.75	869.9	17.47	2.826	335.49	1727.84	1487.92	1143.31	578.35	0.73	17.79	10.58	3.14	538.94
4	1	Blueray	PGPRMin	2.9	790.7	8.24	0	206.45	639.02	1776.62	531.96	572.18	0.59	7.56	5.45	3.97	398.48
5	1	Duke	CTRLMin	2.89	687.1	6.06	0	401.58	1318.71	982.00	844.42	590.52	0.48	11.18	14.50	3.97	827.32
6	1	Duke	CTROrg	4.55	1198	69.65	13.696	405.07	1440.77	3931.91	1343.03	505.14	2.84	19.22	35.39	3.47	674.80
7	1	Duke	PGPROrg	4.85	853.4	58.24	16.957	575.57	1378.95	989.72	949.27	548.42	1.47	8.90	20.31	3.66	1292.75
8	1	Duke	PGPRMin	3.16	764.8	10.81	0	375.08	1150.58	4619.88	1256.39	513.62	3.35	23.40	36.54	3.49	500.59
9	1	Patriot	CTRLMin	3.29	753.9	7.86	0	280.68	357.31	339.92	187.46	520.19	1.43	20.34	6.59	3.50	887.91
10	1	Patriot	CTROrg	4.77	811.1	54.27	7.174	321.36	245.17	709.07	179.07	572.99	1.01	9.84	4.01	3.75	1048.11
11	1	Patriot	PGPROrg	4.89	1168	19.78	21.304	417.04	688.09	452.02	373.56	526.59	2.20	11.01	8.50	2.52	1159.79
12	1	Patriot	PGPRMin	3.54	578	12.22	0	518.31	373.05	1573.22	258.88	431.17	2.32	15.22	14.09	3.12	1214.87
13	2	Blueray	CTRLMin	3.41	462.7	6.58	0	326.46	1424.44	930.12	1077.91	584.92	0.72	11.24	12.76	3.67	1025.68
14	2	Blueray	CTROrg	4.64	1161	40.29	20.217	251.39	985.86	3353.68	971.73	557.13	0.58	15.26	6.65	3.66	389.74
15	2	Blueray	PGPROrg	3.75	813.4	26.96	0.652	303.00	922.07	1156.35	599.35	571.85	0.56	16.36	7.36	3.73	972.54
16	2	Blueray	PGPRMin	3.25	521.2	9.14	0	248.66	402.28	1401.52	206.32	575.77	0.84	11.81	4.42	3.79	1218.15
17	2	Duke	CTRLMin	2.85	816	14.91	0	251.70	1267.24	1757.57	1370.23	556.45	0.66	10.02	21.14	3.55	710.82
18	2	Duke	CTROrg	4.57	947	63.88	10.435	389.26	714.79	2456.07	444.28	491.01	2.40	25.30	24.93	3.44	1121.21
19	2	Duke	PGPROrg	5.08	1137	120.17	8.261	238.42	660.55	1572.21	506.20	559.22	1.88	44.79	13.63	3.71	1346.04
20	2	Duke	PGPRMin	3.5	461.4	14.27	0	456.81	1276.55	2510.13	884.68	546.57	1.87	13.40	14.36	3.63	837.51
21	2	Patriot	CTRLMin	2.41	1809	16.06	1.739	441.40	936.58	523.37	462.66	589.02	1.33	6.97	7.47	3.89	587.89
22	2	Patriot	CTROrg	5.06	999.3	29.78	26.739	411.97	297.38	1653.00	333.21	413.86	2.22	24.96	18.55	3.14	1316.65
23	2	Patriot	PGPROrg	5.39	1211	108.63	19.13	408.20	798.86	667.64	413.31	499.10	2.17	20.73	10.17	3.93	1349.04
24	2	Patriot	PGPRMin	4	ND	11.96	0	431.53	458.69	2630.33	567.83	476.25	2.13	31.18	21.49	3.45	1147.92
25	3	Blueray	CTRLMin	3.86	226	7.85	0.833	238.15	654.48	1308.62	829.92	590.96	1.68	33.06	10.53	3.22	1470.34
26	3	Blueray	CTROrg	4	ND	8.85	0	390.77	984.53	3074.38	936.37	550.03	1.38	21.89	12.76	2.92	1063.16
27	3	Blueray	PGPROrg	4.81	515.8	1.55	5	316.71	884.59	1948.44	826.52	549.51	0.61	19.33	8.64	2.90	1188.47
28	3	Blueray	PGPRMin	3.13	578	12.63	0	456.23	465.40	3540.52	578.36	468.34	2.82	32.31	52.11	2.56	1057.27
29	3	Duke	CTRLMin	2.53	1075	6.84	0	271.75	1244.89	1642.00	909.92	550.77	0.22	10.95	18.99	2.98	433.46
30	3	Duke	CTROrg	4.91	1179	28.88	21.667	396.66	518.04	2186.42	512.68	532.98	1.25	16.82	10.22	2.92	1194.93
31	3	Duke	PGPROrg	4.67	1121	57.72	35.208	481.30	1761.49	1965.15	1377.89	526.77	1.67	8.34	36.52	2.83	701.21
32	3	Duke	PGPRMin	4.13	987.6	21.57	0.833	473.48	879.45	3597.04	871.20	508.62	1.74	13.19	35.69	2.75	1139.43
33	3	Patriot	CTRLMin	3.64	660.9	8.48	0	535.25	2096.82	1923.46	1366.18	548.98	0.60	12.21	31.50	2.92	634.97
34	3	Patriot	CTROrg	4.43	949.8	16.41	22.708	361.02	239.36	1418.49	212.56	454.95	1.96	17.66	9.88	2.55	956.92
35	3	Patriot	PGPROrg	4.57	1152	50.79	18.542	319.62	549.72	1058.31	402.82	570.67	2.05	12.33	11.56	3.06	1326.51
36	3	Patriot	PGPRMin	3.31	723.1	17.29	0	206.16	751.91	1644.06	631.84	545.50	0.74	16.24	5.39	2.99	684.32
37	4	Blueray	CTRLMin	3.43	476.8	9.86	3.958	223.02	880.68	2027.44	680.24	566.88	0.56	7.44	8.33	3.06	422.86
38	4	Blueray	CTROrg	4.99	1445	120.44	40.417	359.45	931.91	3061.60	867.59	536.36	2.19	13.05	19.87	2.91	875.22
39	4	Blueray	PGPROrg	4.55	721.7	4.82	0	267.23	1552.56	1670.19	1002.73	605.98	0.52	12.36	9.70	3.16	714.04
40	4	Blueray	PGPRMin	3.59	354.2	7.85	0	477.91	916.58	3048.76	665.01	474.46	2.61	26.02	28.96	2.63	1150.39
41	4	Duke	CTRLMin	5.15	134.3	1.55	0	403.13	1019.42	3811.01	1036.53	361.73	3.38	34.34	39.34	2.12	806.10
42	4	Duke	CTROrg	4.78	329.9	2.43	0	348.29	351.93	2603.72	402.31	465.79	2.84	15.45	15.14	2.35	796.93
43	4	Duke	PGPROrg	5.7	255.2	2.05	7.083	508.31	1658.66	1316.66	900.09	614.25	0.70	9.46	9.65	2.92	297.92
