Tax4fun2 beta
Mon Oct 27 07:50:58 2025
Unknown fraction (amount of otus unused in the prediction) for each sample:
LEM59.01: 0.96997
LEM59.02: 0.9574
LEM59.03: 0.96565
LEM59.04: 0.97313
LEM59.05: 0.97439
LEM59.06: 0.96815
LEM59.07: 0.9716
LEM59.08: 0.97538
LEM59.09: 0.97031
LEM59.10: 0.96761
LEM59.11: 0.95753
LEM59.12: 0.97927
LEM59.13: 0.97029
LEM59.14: 0.95482
LEM59.15: 0.96318
LEM59.16: 0.97379
LEM59.17: 0.95806
LEM59.18: 0.96285
LEM59.19: 0.97047
LEM59.20: 0.97552
LEM59.21: 0.9781
LEM59.22: 0.97682
LEM59.23: 0.96663
LEM59.24: 0.97766
LEM59.25: 0.96857
LEM59.26: 0.95994
LEM59.27: 0.96333
LEM59.28: 0.96856
LEM59.29: 0.97153
LEM59.30: 0.95115
LEM59.31: 0.96064
LEM59.32: 0.9693
LEM59.33: 0.95689
LEM59.34: 0.94982
LEM59.35: 0.96033
LEM59.36: 0.97
LEM59.37: 0.97152
LEM59.38: 0.96597
LEM59.39: 0.9633
LEM59.40: 0.97104
LEM59.41: 0.96367
LEM59.42: 0.96234
LEM59.43: 0.9665
LEM59.44: 0.97513
LEM59.45: 0.96974
LEM59.46: 0.97998
LEM59.47: 0.97125
LEM59.48: 0.97819
LEM59.49: 0.90785
LEM59.50: 0.90933
LEM59.51: 0.94714
LEM59.52: 0.93097
LEM59.53: 0.95317
LEM59.54: 0.93586
LEM59.55: 0.93429
LEM59.56: 0.9448
LEM59.57: 0.94918
LEM59.58: 0.91079
LEM59.59: 0.94852
LEM59.60: 0.92868
LEM59.61: 0.92593
LEM59.62: 0.9198
LEM59.63: 0.93475
LEM59.64: 0.94505
LEM59.65: 0.94185
LEM59.66: 0.9375
LEM59.67: 0.9326
LEM59.68: 0.95027
LEM59.69: 0.96053
LEM59.70: 0.89107
LEM59.71: 0.94028
LEM59.72: 0.90431
LEM59.73: 0.92257
LEM59.74: 0.94023
Unknown fraction (amount of sequences unused in the prediction) for each sample:
LEM59.01: 0.86558
LEM59.02: 0.85627
LEM59.03: 0.9319
LEM59.04: 0.93607
LEM59.05: 0.89108
LEM59.06: 0.94247
LEM59.07: 0.94824
LEM59.08: 0.8104
LEM59.09: 0.76273
LEM59.10: 0.93211
LEM59.11: 0.9149
LEM59.12: 0.97113
LEM59.13: 0.76725
LEM59.14: 0.81366
LEM59.15: 0.9134
LEM59.16: 0.92813
LEM59.17: 0.92186
LEM59.18: 0.68641
LEM59.19: 0.91626
LEM59.20: 0.79896
LEM59.21: 0.7256
LEM59.22: 0.90192
LEM59.23: 0.87043
LEM59.24: 0.89679
LEM59.25: 0.62608
LEM59.26: 0.65398
LEM59.27: 0.76882
LEM59.28: 0.71135
LEM59.29: 0.60889
LEM59.30: 0.90444
LEM59.31: 0.9028
LEM59.32: 0.66113
LEM59.33: 0.49357
LEM59.34: 0.63415
LEM59.35: 0.62444
LEM59.36: 0.96527
LEM59.37: 0.92779
LEM59.38: 0.58905
LEM59.39: 0.79077
LEM59.40: 0.9217
LEM59.41: 0.56195
LEM59.42: 0.82987
LEM59.43: 0.54585
LEM59.44: 0.80774
LEM59.45: 0.56234
LEM59.46: 0.72409
LEM59.47: 0.5497
LEM59.48: 0.48889
LEM59.49: 0.36325
LEM59.50: 0.65174
LEM59.51: 0.66962
LEM59.52: 0.53342
LEM59.53: 0.4678
LEM59.54: 0.51772
LEM59.55: 0.48353
LEM59.56: 0.5567
LEM59.57: 0.47027
LEM59.58: 0.47532
LEM59.59: 0.56124
LEM59.60: 0.56434
LEM59.61: 0.56446
LEM59.62: 0.5232
LEM59.63: 0.54991
LEM59.64: 0.48661
LEM59.65: 0.49537
LEM59.66: 0.49128
LEM59.67: 0.50986
LEM59.68: 0.52345
LEM59.69: 0.60115
LEM59.70: 0.38357
LEM59.71: 0.45544
LEM59.72: 0.55384
LEM59.73: 0.53409
LEM59.74: 0.54654
