#OTU ID	LEM59ITS-01	LEM59ITS-02	LEM59ITS-03	LEM59ITS-04	LEM59ITS-05	LEM59ITS-06	LEM59ITS-07	LEM59ITS-08	LEM59ITS-09	LEM59ITS-10	LEM59ITS-11	LEM59ITS-12	LEM59ITS-13	LEM59ITS-14	LEM59ITS-15	LEM59ITS-16	LEM59ITS-17	LEM59ITS-18	LEM59ITS-19	LEM59ITS-20	LEM59ITS-21	LEM59ITS-22	LEM59ITS-23	LEM59ITS-24	LEM59ITS-25	LEM59ITS-26	LEM59ITS-27	LEM59ITS-28	LEM59ITS-29	LEM59ITS-30	LEM59ITS-31	LEM59ITS-32	LEM59ITS-33	LEM59ITS-34	LEM59ITS-35	LEM59ITS-36	LEM59ITS-37	LEM59ITS-38	LEM59ITS-39	LEM59ITS-40	LEM59ITS-41	LEM59ITS-42	LEM59ITS-43	LEM59ITS-44	LEM59ITS-45	LEM59ITS-46	LEM59ITS-47	LEM59ITS-48	LEM59ITS-49	LEM59ITS-50	LEM59ITS-51	LEM59ITS-52	LEM59ITS-53	LEM59ITS-54	LEM59ITS-55	LEM59ITS-56	LEM59ITS-57	LEM59ITS-58	LEM59ITS-59	LEM59ITS-60	LEM59ITS-61	LEM59ITS-62	LEM59ITS-63	LEM59ITS-64	LEM59ITS-65	LEM59ITS-66	LEM59ITS-67	LEM59ITS-68	LEM59ITS-69	LEM59ITS-70	LEM59ITS-71	LEM59ITS-72	LEM59ITS-73	LEM59ITS-74	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
ea2e5e2bb16ad0cb18e006e98a3c3202	39347.0	46410.0	35341.0	76568.0	37473.0	10402.0	6.0	578.0	216.0	7806.0	105.0	241.0	7377.0	73.0	6268.0	7238.0	18093.0	15461.0	12439.0	16882.0	435.0	43423.0	37803.0	27491.0	954.0	3128.0	10346.0	6147.0	1677.0	6136.0	8704.0	4954.0	589.0	38.0	983.0	280.0	372.0	705.0	12729.0	29351.0	26476.0	13827.0	21525.0	4144.0	164.0	5518.0	14010.0	462.0	2218.0	23268.0	17370.0	19298.0	588.0	1766.0	16077.0	20429.0	4157.0	10592.0	472.0	25057.0	10930.0	8752.0	840.0	241.0	18126.0	20207.0	15182.0	6.0	544.0	2048.0	11.0	4466.0	7333.0	1454.0	k__Fungi;p__Mortierellomycota;c__Mortierellomycetes;o__Mortierellales;f__Mortierellaceae;g__Mortierella;s__Mortierella_parvispora	Mortierella	13	Saprotroph-Symbiotroph	Endophyte-Plant Saprotroph-|Undefined Saprotroph|	Microfungus	NULL	Probable	As chitinolytic (Põlme et al. 2020); As soil_saprotroph (Põlme et al. 2020); Decay roots, soil (Põlme et al. 2020); Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Purahong W, et al. 2016. Molecular Ecology 25:4059-4074 ((https://doi.org/10.1111/mec.13739)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
180caaa0187c00ab52f5cd11143cc5be	2298.0	1781.0	9.0	0.0	0.0	241.0	0.0	0.0	0.0	11119.0	0.0	2953.0	1198.0	0.0	573.0	6899.0	0.0	0.0	3952.0	4855.0	9889.0	7617.0	849.0	509.0	113.0	6325.0	7731.0	1380.0	7426.0	1448.0	1298.0	9286.0	1579.0	5849.0	10853.0	172.0	670.0	163.0	2934.0	532.0	242.0	1184.0	3519.0	178.0	15504.0	5174.0	3714.0	17695.0	13633.0	3433.0	678.0	826.0	16082.0	1590.0	0.0	0.0	5188.0	522.0	32.0	1011.0	226.0	128.0	13510.0	1805.0	4072.0	491.0	441.0	18089.0	14041.0	74.0	19079.0	235.0	3928.0	969.0	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__unidentified	Archaeorhizomyces	13	Saprotroph	|Undefined Saprotroph|	Microfungus	NULL	Probable	As soil_saprotroph (Põlme et al. 2020); Decay roots, soil (Põlme et al. 2020); From rhizosphere soil and coniferous ectomycorrhizal root tips (Rosling et al. 2011)	b'Rosling A, et al. 2011. Science 333:876-879 ((https://doi.org/10.1126/science.1206958)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
0878946551a26c77d6152405c4b18ba7	165.0	167.0	0.0	5.0	8543.0	1771.0	49.0	1714.0	16.0	0.0	2354.0	9257.0	741.0	12.0	127.0	167.0	21510.0	12.0	360.0	51.0	9.0	1338.0	21.0	603.0	1955.0	10099.0	23760.0	19940.0	16.0	58.0	430.0	984.0	5878.0	64.0	63.0	14754.0	33428.0	42.0	12910.0	2223.0	10311.0	1341.0	64.0	4473.0	25.0	10828.0	1725.0	754.0	37.0	134.0	3912.0	15050.0	604.0	713.0	6482.0	191.0	51.0	6.0	12.0	172.0	364.0	70.0	271.0	14.0	50.0	3497.0	11540.0	3.0	88.0	1736.0	6.0	435.0	214.0	522.0	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Filobasidiales;f__Piskurozymaceae;g__Solicoccozyma;s__Solicoccozyma_terricola	Solicoccozyma	13	Saprotroph-Symbiotroph	Epiphyte-|Undefined Saprotroph|	Yeast	NULL	Probable	As soil_saprotroph (Põlme et al. 2020); Decay soil (Põlme et al. 2020)	b'P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
caf3df12c8f4bf9d0df93163f785a874	7.0	9.0	11.0	0.0	19.0	665.0	0.0	19.0	22.0	134.0	886.0	17.0	11.0	163.0	173.0	290.0	0.0	18.0	0.0	5.0	0.0	8.0	38.0	60.0	1593.0	2020.0	10693.0	10624.0	18.0	37961.0	5960.0	50.0	18747.0	9791.0	6943.0	9061.0	13796.0	10.0	6943.0	17763.0	6443.0	8458.0	3012.0	13069.0	12827.0	11598.0	1426.0	1068.0	9.0	32.0	6.0	40.0	21.0	26.0	3.0	0.0	9.0	5.0	6.0	15.0	8.0	6.0	3.0	4.0	0.0	4.0	0.0	10.0	6.0	0.0	0.0	9.0	0.0	0.0	k__Fungi;p__Basidiomycota;c__Microbotryomycetes;o__unidentified;f__unidentified;g__unidentified;s__unidentified	-	-	-	-	-	-	-	Unassigned	-
f7b161299208c8fc0423abc2d31d3a1c	801.0	998.0	73.0	103.0	620.0	797.0	594.0	4083.0	23388.0	2466.0	3.0	527.0	5751.0	128.0	4757.0	2093.0	2265.0	7104.0	900.0	0.0	5.0	0.0	142.0	70.0	6271.0	3.0	0.0	0.0	635.0	0.0	36.0	215.0	11.0	100.0	69.0	0.0	222.0	640.0	1070.0	379.0	2662.0	1457.0	3766.0	2076.0	4873.0	1013.0	4657.0	6673.0	12386.0	1858.0	9074.0	1339.0	6205.0	5366.0	6266.0	8113.0	34.0	2193.0	14305.0	353.0	208.0	131.0	33.0	25.0	0.0	31.0	588.0	24.0	240.0	3666.0	276.0	152.0	3124.0	119.0	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Hygrophoraceae;g__Hygrocybe	Hygrocybe	13	Saprotroph-Symbiotroph	|Undefined Saprotroph|-Undefined Symbiotroph	Agaricoid	NULL	Probable	As soil_saprotroph (Põlme et al. 2020); Decay roots, soil (Põlme et al. 2020); Previously classified as Hygrophorus; Carbon signature suggests biotrophy with bryophytes, grasses, or understory plants (Seitzman et al. 2011)	b'Seitzman BH, et al. 2011. Mycologia 103:280-290 ((https://doi.org/10.3852/10-195)); Lodge J., et al. 2014. Fungal Diversity 64:1-99 ((https://doi.org/10.1007/s13225-013-0259-0)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
8dba7852e22e29fc356186e18e509422	977.0	1177.0	20091.0	323.0	187.0	2784.0	0.0	402.0	35.0	596.0	301.0	1705.0	47711.0	3327.0	1905.0	1125.0	3007.0	67.0	2227.0	8715.0	364.0	78.0	943.0	446.0	1129.0	9214.0	1267.0	11149.0	202.0	1419.0	6615.0	26.0	1032.0	3468.0	169.0	33.0	1560.0	158.0	33.0	403.0	13.0	529.0	70.0	79.0	19.0	315.0	188.0	0.0	50.0	66.0	0.0	0.0	6.0	0.0	0.0	57.0	4298.0	689.0	930.0	347.0	40.0	119.0	9.0	27.0	0.0	14.0	309.0	29.0	143.0	49.0	0.0	116.0	45.0	21.0	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Phacidiales;f__Phacidiaceae;g__unidentified;s__unidentified	-	-	-	-	-	-	-	Unassigned	-
45ebbc2c54f5cab4149cba98f1c4bb2e	699.0	545.0	762.0	0.0	0.0	592.0	0.0	144.0	63.0	373.0	0.0	293.0	281.0	40972.0	527.0	116.0	35.0	33.0	937.0	2645.0	112.0	0.0	168.0	1702.0	104.0	75.0	2192.0	1384.0	41.0	104.0	2251.0	4153.0	1863.0	15004.0	365.0	1464.0	521.0	2563.0	21.0	27.0	0.0	48.0	18.0	25266.0	0.0	213.0	57.0	60.0	0.0	20.0	0.0	77.0	0.0	9.0	0.0	20.0	506.0	391.0	224.0	347.0	0.0	33.0	17.0	91.0	0.0	0.0	113.0	29.0	70.0	0.0	16.0	93.0	50.0	0.0	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Phacidiales;f__Phacidiaceae;g__unidentified;s__unidentified	-	-	-	-	-	-	-	Unassigned	-
9b14f202d1f2746b2dea17e7d313cab0	0.0	0.0	0.0	0.0	0.0	0.0	926.0	0.0	0.0	0.0	0.0	0.0	0.0	5194.0	0.0	0.0	0.0	5497.0	0.0	0.0	28.0	0.0	0.0	0.0	2771.0	415.0	775.0	0.0	21839.0	65.0	0.0	0.0	384.0	42.0	190.0	0.0	0.0	32804.0	30.0	119.0	116.0	513.0	6194.0	15.0	0.0	132.0	297.0	60.0	53.0	347.0	21.0	385.0	933.0	1603.0	0.0	0.0	4964.0	88.0	7395.0	150.0	1057.0	26.0	0.0	2403.0	0.0	248.0	0.0	2023.0	130.0	5439.0	1944.0	0.0	0.0	0.0	k__Fungi;p__Ascomycota;c__Archaeorhizomycetes;o__Archaeorhizomycetales;f__Archaeorhizomycetaceae;g__Archaeorhizomyces;s__unidentified	Archaeorhizomyces	13	Saprotroph	|Undefined Saprotroph|	Microfungus	NULL	Probable	As soil_saprotroph (Põlme et al. 2020); Decay roots, soil (Põlme et al. 2020); From rhizosphere soil and coniferous ectomycorrhizal root tips (Rosling et al. 2011)	b'Rosling A, et al. 2011. Science 333:876-879 ((https://doi.org/10.1126/science.1206958)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
9c234e3c37e57cafabe0215c8f05c6ea	358.0	309.0	6.0	18.0	22.0	12.0	0.0	3.0	11.0	4.0	3.0	0.0	0.0	11.0	4.0	26.0	3.0	2.0	0.0	0.0	3.0	0.0	10.0	0.0	2322.0	11787.0	9.0	242.0	0.0	1050.0	21693.0	9.0	327.0	3527.0	22269.0	14016.0	2148.0	0.0	35.0	0.0	10.0	19127.0	28.0	13.0	0.0	0.0	0.0	4.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Cystofilobasidiales;f__Mrakiaceae;g__Mrakia;s__Mrakia_frigida	Mrakia	13	Saprotroph	|Undefined Saprotroph|	Dimorphic-Yeast	NULL	Probable	Isolated from water scums (Jones & Sloof 1966); isolated from Antarctic soil (Xin & Zhou 2007)	b'Jones EBG, Slooff WC. 1966. Antonie van Leeuwenhoek 32:223-228 ((https://doi.org/10.1007/BF02097464)); Xin M-X, Zhou P-J. 2007. Journal of Zhejiang University SCIENCE B. 8:260-265 ((https://doi.org/10.1631/jzus.2007.B0260)); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
78021edd4cb02d9dc3661f495f1a9680	284.0	243.0	486.0	367.0	1957.0	2045.0	53.0	15416.0	159.0	2161.0	12601.0	16916.0	356.0	0.0	16565.0	3366.0	1715.0	930.0	86.0	578.0	344.0	1120.0	88.0	0.0	0.0	397.0	39.0	0.0	410.0	2568.0	128.0	1156.0	37.0	0.0	43.0	0.0	2251.0	31.0	3552.0	520.0	356.0	67.0	20.0	263.0	0.0	212.0	0.0	0.0	0.0	577.0	1098.0	0.0	18.0	131.0	0.0	205.0	260.0	231.0	0.0	0.0	0.0	54.0	125.0	0.0	0.0	0.0	42.0	68.0	0.0	0.0	66.0	5649.0	313.0	358.0	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Helotiales;f__Leotiaceae;g__Pezoloma;s__Pezoloma_ericae	Pezoloma	13	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Ectomycorrhizal-|Endophyte|-Ericoid Mycorrhizal-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph	Microfungus	NULL	Possible	As root_endophyte (Põlme et al. 2020); As soil_saprotroph (Põlme et al. 2020); Dark Septate Microfungus; Syn. Hymenoscyphus among other (see e.g., Pezoloma ericae); Decay soil (Põlme et al. 2020)	b'Korf RP. 2000. Mycotaxon 73:493-497 ((http://www.cybertruffle.org.uk/cyberliber/59575/0073/0493b.jpg)); Baral HO, Krieglsteiner L. 2006. Acta Mycologica 41:11-20 ((https://doi.org/10.5586/am.2006.003)) (as a bryophyte parasite); Huhtinen S, et al. 2010. Nova Hedwigia 90:413-431 ((https://doi.org/10.1127/0029-5035/2010/0090-0413), Bent E, et al. 2011. Applied and Environmental Microbiology 77:3351-3359 ((https://doi.org/10.1128/AEM.02575-10)) (as ectomycorrhizae); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)) (as saprotroph); P\xc3\xb5lme S, et al. 2020. Fungal Diversity 105:1-16 ((https://doi.org/10.1007/s13225-020-00466-2))'
